year,GardenReach,Digha,Dhamra,Paradeep,Gopalpur,Visakhapatnam,Kakinada,Machilipatnam,Krishnapatnam,AerialBay,Ennore, Chennai, Rangatbay,Pondicherry, Portblair,Nagapattinam,Hutbay,CarNicobar, Tuticorin, Nancowry,CampbellBay
2010,100,100,100,17,100,13,100,100,89,23,18,13,100,100,49,100,100,100,72,100,15
2011,29,100,100,13,100,7,17,100,42,50,16,16,100,100,100,19,100,100,8,40,67
2012,13,100,100,13,100,12,15,100,26,15,7,26,100,100,21,20,100,100,35,39,25
2013,8,100,100,6,100,23,7,100,7,10,7,17,100,100,43,9,100,100,10,38,13
2014,15,100,100,3,100,32,4,100,45,6,8,11,100,100,17,9,100,100,20,40,33
2015,1,100,100,1,100,5,15,32,58,1.4,10,1,53,100,2,3,3,0,37,38,80
2016,4,0,100,0,100,3,2,0,19,0,21,32,0,0,8,3,0,0,6,50,17
2017,4,37,100,20,100,5,6,0,21,7,63,32,0,6,16,18,100,100,31,92,37
2018,10,30,100,9,100,9,0,8,94,18,53,89,100,5,59,48,100,100,30,100,20
2019,17,100,1.5,11,100,16,10,41,89,30,49,18,15,4,68,22,100,4,6,92,59
2020,13,100,2,17,100,19,9,58,1,29,9,48,3,35,7,5,100,100,12,31,22
2021,24,100,0,15,100,10,6,43,2,69,6,13,1,28,14,0,100,100,12,14,44
2022,29,100,100,15,0,9,14,22,4,8,11,74,4,21,7,3,100,87,11,24,48
